Pos	Name Surname	Time	After	Sn	Tn
1	Kyle Bucklow	03:38:21	00:08:21	8.35	8.35
2	Alexander Zonomessis	03:47:31	00:17:31	17.52	9.17
3	Justin Chesterton	04:07:58	00:37:58	37.97	20.45
4	Wano Katjiri	04:09:41	00:39:41	39.68	1.72
5	Henco Visser	04:17:41	00:47:41	47.68	8.00
6	Nicholas Smuts	04:20:33	00:50:33	50.55	2.87
7	Richard Armstrong	04:23:46	00:53:46	53.77	3.22
8	Michael Nel	04:24:54	00:54:54	54.90	1.13
9	Aidan Stuart	04:25:35	00:55:35	55.58	0.68
10	Damien Schumann	04:26:12	00:56:12	56.20	0.62
11	David Grieve	04:29:28	00:59:28	59.47	3.27
12	Alick Kapito	04:30:10	01:00:10	60.17	0.70
13	Lisa Geffen	04:32:25	01:02:25	62.42	2.25
14	Chris Jacobs	04:33:21	01:03:21	63.35	0.93
15	Shafeeqah Gordon	04:38:33	01:08:33	68.55	5.20
16	Brent Shone	04:41:09	01:11:09	71.15	2.60
17	David Frank	04:41:10	01:11:10	71.17	0.02
18	Nichol Jordaan	04:48:03	01:18:03	78.05	6.88
19	Warren Owen	04:48:26	01:18:26	78.43	0.38
20	Tristan Sandwith	04:48:53	01:18:53	78.88	0.45
21	Jonathan Child	04:49:35	01:19:35	79.58	0.70
22	Arnaud Guidet	04:49:42	01:19:42	79.70	0.12
23	Jord Cuiper	04:49:44	01:19:44	79.73	0.03
24	Arthur Botha	04:49:55	01:19:55	79.92	0.18
25	Monique Agenbag	04:52:24	01:22:24	82.40	2.48
26	Rickert Mulder	04:55:14	01:25:14	85.23	2.83
27	Morgan Watson	04:55:19	01:25:19	85.32	0.08
28	Julia Hunter	04:56:18	01:26:18	86.30	0.98
29	Ryan Dix-Peek	04:57:19	01:27:19	87.32	1.02
30	Francois Burger	05:00:29	01:30:29	90.48	3.17
31	Claus Mischker	05:00:45	01:30:45	90.75	0.27
32	Evan Strauss	05:00:53	01:30:53	90.88	0.13
33	Jonathan Edwards	05:02:58	01:32:58	92.97	2.08
34	Jason Arnold	05:03:10	01:33:10	93.17	0.20
35	Rod Hunter	05:07:05	01:37:05	97.08	3.92
36	Modisa Mogale	05:07:57	01:37:57	97.95	0.87
37	Paul Smit	05:07:59	01:37:59	97.98	0.03
38	Armand du_Plessis	05:10:17	01:40:17	100.28	2.30
39	Danon Pina	05:12:16	01:42:16	102.27	1.98
40	Isak Wust	05:18:12	01:48:12	108.20	5.93
41	Dave Dyer	05:18:14	01:48:14	108.23	0.03
42	Jacques Kriel	05:18:38	01:48:38	108.63	0.40
43	Derk Hoekert	05:18:52	01:48:52	108.87	0.23
44	David Hughes	05:18:54	01:48:54	108.90	0.03
45	Stephen Cook	05:19:14	01:49:14	109.23	0.33
46	Benj Day	05:20:57	01:50:57	110.95	1.72
47	Lara Reusch	05:22:07	01:52:07	112.12	1.17
48	Frans Van_Sittert	05:22:11	01:52:11	112.18	0.07
49	Matthew Gonsalves	05:23:47	01:53:47	113.78	1.60
50	Claire Currie	05:23:56	01:53:56	113.93	0.15
